year,node_id,zone,impervious_pct,pervious_pct,runoff_coefficient,horton_f0_mm_hr,horton_finf_mm_hr,horton_decay_k
2022,J_MUR_051,Murki Nala & Old City Zone,87.51,12.49,0.806,19.37,3.25,3.5
2023,J_MUR_051,Murki Nala & Old City Zone,88.11,11.89,0.811,18.91,3.19,3.5
2024,J_MUR_051,Murki Nala & Old City Zone,88.55,11.45,0.814,18.59,3.14,3.5
2025,J_MUR_051,Murki Nala & Old City Zone,88.86,11.14,0.816,18.35,3.11,3.5
2010,J_MUR_052,Murki Nala & Old City Zone,77.46,22.54,0.731,26.9,4.25,3.5
2011,J_MUR_052,Murki Nala & Old City Zone,77.73,22.27,0.733,26.71,4.23,3.5
2012,J_MUR_052,Murki Nala & Old City Zone,78.1,21.9,0.736,26.43,4.19,3.5
2013,J_MUR_052,Murki Nala & Old City Zone,78.61,21.39,0.74,26.04,4.14,3.5
2014,J_MUR_052,Murki Nala & Old City Zone,79.29,20.71,0.745,25.53,4.07,3.5
2015,J_MUR_052,Murki Nala & Old City Zone,80.15,19.85,0.751,24.89,3.98,3.5
2016,J_MUR_052,Murki Nala & Old City Zone,81.19,18.81,0.759,24.11,3.88,3.5
2017,J_MUR_052,Murki Nala & Old City Zone,82.35,17.65,0.768,23.23,3.76,3.5
2018,J_MUR_052,Murki Nala & Old City Zone,83.57,16.43,0.777,22.33,3.64,3.5
2019,J_MUR_052,Murki Nala & Old City Zone,84.73,15.27,0.785,21.45,3.53,3.5
2020,J_MUR_052,Murki Nala & Old City Zone,85.77,14.23,0.793,20.67,3.42,3.5
2021,J_MUR_052,Murki Nala & Old City Zone,86.63,13.37,0.8,20.03,3.34,3.5
2022,J_MUR_052,Murki Nala & Old City Zone,87.31,12.69,0.805,19.52,3.27,3.5
2023,J_MUR_052,Murki Nala & Old City Zone,87.82,12.18,0.809,19.13,3.22,3.5
2024,J_MUR_052,Murki Nala & Old City Zone,88.19,11.81,0.811,18.85,3.18,3.5
2025,J_MUR_052,Murki Nala & Old City Zone,88.46,11.54,0.813,18.66,3.15,3.5
2010,J_MUR_053,Murki Nala & Old City Zone,80.8,19.2,0.756,24.4,3.92,3.5
2011,J_MUR_053,Murki Nala & Old City Zone,80.97,19.03,0.757,24.27,3.9,3.5
2012,J_MUR_053,Murki Nala & Old City Zone,81.2,18.8,0.759,24.1,3.88,3.5
2013,J_MUR_053,Murki Nala & Old City Zone,81.52,18.48,0.761,23.86,3.85,3.5
2014,J_MUR_053,Murki Nala & Old City Zone,81.94,18.06,0.765,23.55,3.81,3.5
2015,J_MUR_053,Murki Nala & Old City Zone,82.48,17.52,0.769,23.14,3.75,3.5
2016,J_MUR_053,Murki Nala & Old City Zone,83.12,16.88,0.773,22.66,3.69,3.5
2017,J_MUR_053,Murki Nala & Old City Zone,83.84,16.16,0.779,22.12,3.62,3.5
2018,J_MUR_053,Murki Nala & Old City Zone,84.6,15.4,0.784,21.55,3.54,3.5
2019,J_MUR_053,Murki Nala & Old City Zone,85.32,14.68,0.79,21.01,3.47,3.5
2020,J_MUR_053,Murki Nala & Old City Zone,85.97,14.03,0.795,20.53,3.4,3.5
2021,J_MUR_053,Murki Nala & Old City Zone,86.5,13.5,0.799,20.12,3.35,3.5
2022,J_MUR_053,Murki Nala & Old City Zone,86.93,13.07,0.802,19.81,3.31,3.5
2023,J_MUR_053,Murki Nala & Old City Zone,87.24,12.76,0.804,19.57,3.28,3.5
2024,J_MUR_053,Murki Nala & Old City Zone,87.48,12.52,0.806,19.39,3.25,3.5
2025,J_MUR_053,Murki Nala & Old City Zone,87.64,12.36,0.807,19.27,3.24,3.5
2010,J_MUR_054,Murki Nala & Old City Zone,78.06,21.94,0.735,26.46,4.19,3.5
2011,J_MUR_054,Murki Nala & Old City Zone,78.33,21.67,0.737,26.25,4.17,3.5
2012,J_MUR_054,Murki Nala & Old City Zone,78.72,21.28,0.74,25.96,4.13,3.5
2013,J_MUR_054,Murki Nala & Old City Zone,79.24,20.76,0.744,25.57,4.08,3.5
2014,J_MUR_054,Murki Nala & Old City Zone,79.95,20.05,0.75,25.04,4.01,3.5
2015,J_MUR_054,Murki Nala & Old City Zone,80.84,19.16,0.756,24.37,3.92,3.5
2016,J_MUR_054,Murki Nala & Old City Zone,81.91,18.09,0.764,23.57,3.81,3.5
2017,J_MUR_054,Murki Nala & Old City Zone,83.12,16.88,0.773,22.66,3.69,3.5
2018,J_MUR_054,Murki Nala & Old City Zone,84.37,15.63,0.783,21.72,3.56,3.5
2019,J_MUR_054,Murki Nala & Old City Zone,85.57,14.43,0.792,20.82,3.44,3.5
2020,J_MUR_054,Murki Nala & Old City Zone,86.64,13.36,0.8,20.02,3.34,3.5
2021,J_MUR_054,Murki Nala & Old City Zone,87.54,12.46,0.807,19.35,3.25,3.5
2022,J_MUR_054,Murki Nala & Old City Zone,88.24,11.76,0.812,18.82,3.18,3.5
2023,J_MUR_054,Murki Nala & Old City Zone,88.77,11.23,0.816,18.42,3.12,3.5
2024,J_MUR_054,Murki Nala & Old City Zone,89.15,10.85,0.819,18.13,3.08,3.5
2025,J_MUR_054,Murki Nala & Old City Zone,89.43,10.57,0.821,17.93,3.06,3.5
2010,J_MUR_055,Murki Nala & Old City Zone,76.89,23.11,0.727,27.33,4.31,3.5
2011,J_MUR_055,Murki Nala & Old City Zone,77.13,22.87,0.728,27.15,4.29,3.5
2012,J_MUR_055,Murki Nala & Old City Zone,77.46,22.54,0.731,26.9,4.25,3.5
2013,J_MUR_055,Murki Nala & Old City Zone,77.92,22.08,0.734,26.56,4.21,3.5
2014,J_MUR_055,Murki Nala & Old City Zone,78.54,21.46,0.739,26.1,4.15,3.5
2015,J_MUR_055,Murki Nala & Old City Zone,79.31,20.69,0.745,25.51,4.07,3.5
2016,J_MUR_055,Murki Nala & Old City Zone,80.25,19.75,0.752,24.81,3.98,3.5
2017,J_MUR_055,Murki Nala & Old City Zone,81.3,18.7,0.76,24.03,3.87,3.5
2018,J_MUR_055,Murki Nala & Old City Zone,82.39,17.61,0.768,23.21,3.76,3.5
2019,J_MUR_055,Murki Nala & Old City Zone,83.43,16.57,0.776,22.43,3.66,3.5
2020,J_MUR_055,Murki Nala & Old City Zone,84.37,15.63,0.783,21.72,3.56,3.5
2021,J_MUR_055,Murki Nala & Old City Zone,85.14,14.86,0.789,21.14,3.49,3.5
2022,J_MUR_055,Murki Nala & Old City Zone,85.76,14.24,0.793,20.68,3.42,3.5
2023,J_MUR_055,Murki Nala & Old City Zone,86.22,13.78,0.797,20.34,3.38,3.5
2024,J_MUR_055,Murki Nala & Old City Zone,86.55,13.45,0.799,20.09,3.34,3.5
2025,J_MUR_055,Murki Nala & Old City Zone,86.79,13.21,0.801,19.91,3.32,3.5
2010,J_MUR_056,Murki Nala & Old City Zone,77.26,22.74,0.729,27.06,4.27,3.5
2011,J_MUR_056,Murki Nala & Old City Zone,77.49,22.51,0.731,26.88,4.25,3.5
2012,J_MUR_056,Murki Nala & Old City Zone,77.83,22.17,0.734,26.63,4.22,3.5
2013,J_MUR_056,Murki Nala & Old City Zone,78.29,21.71,0.737,26.29,4.17,3.5
2014,J_MUR_056,Murki Nala & Old City Zone,78.9,21.1,0.742,25.83,4.11,3.5
2015,J_MUR_056,Murki Nala & Old City Zone,79.67,20.33,0.748,25.25,4.03,3.5
2016,J_MUR_056,Murki Nala & Old City Zone,80.6,19.4,0.755,24.55,3.94,3.5
2017,J_MUR_056,Murki Nala & Old City Zone,81.65,18.35,0.762,23.76,3.84,3.5
2018,J_MUR_056,Murki Nala & Old City Zone,82.74,17.26,0.771,22.95,3.73,3.5
2019,J_MUR_056,Murki Nala & Old City Zone,83.78,16.22,0.778,22.16,3.62,3.5
2020,J_MUR_056,Murki Nala & Old City Zone,84.71,15.29,0.785,21.47,3.53,3.5
2021,J_MUR_056,Murki Nala & Old City Zone,85.49,14.51,0.791,20.88,3.45,3.5
2022,J_MUR_056,Murki Nala & Old City Zone,86.1,13.9,0.796,20.43,3.39,3.5
2023,J_MUR_056,Murki Nala & Old City Zone,86.56,13.44,0.799,20.08,3.34,3.5
2024,J_MUR_056,Murki Nala & Old City Zone,86.89,13.11,0.802,19.83,3.31,3.5
2025,J_MUR_056,Murki Nala & Old City Zone,87.13,12.87,0.803,19.65,3.29,3.5
2010,J_MUR_057,Murki Nala & Old City Zone,81.04,18.96,0.758,24.22,3.9,3.5
2011,J_MUR_057,Murki Nala & Old City Zone,81.25,18.75,0.759,24.07,3.88,3.5
2012,J_MUR_057,Murki Nala & Old City Zone,81.54,18.46,0.762,23.84,3.85,3.5
2013,J_MUR_057,Murki Nala & Old City Zone,81.95,18.05,0.765,23.54,3.81,3.5
2014,J_MUR_057,Murki Nala & Old City Zone,82.49,17.51,0.769,23.13,3.75,3.5
2015,J_MUR_057,Murki Nala & Old City Zone,83.17,16.83,0.774,22.62,3.68,3.5
2016,J_MUR_057,Murki Nala & Old City Zone,84.0,16.0,0.78,22.0,3.6,3.5
2017,J_MUR_057,Murki Nala & Old City Zone,84.92,15.08,0.787,21.31,3.51,3.5
2018,J_MUR_057,Murki Nala & Old City Zone,85.89,14.11,0.794,20.59,3.41,3.5
2019,J_MUR_057,Murki Nala & Old City Zone,86.81,13.19,0.801,19.89,3.32,3.5
2020,J_MUR_057,Murki Nala & Old City Zone,87.64,12.36,0.807,19.27,3.24,3.5
2021,J_MUR_057,Murki Nala & Old City Zone,88.32,11.68,0.812,18.76,3.17,3.5
2022,J_MUR_057,Murki Nala & Old City Zone,88.86,11.14,0.816,18.35,3.11,3.5
2023,J_MUR_057,Murki Nala & Old City Zone,89.27,10.73,0.82,18.05,3.07,3.5
2024,J_MUR_057,Murki Nala & Old City Zone,89.56,10.44,0.822,17.83,3.04,3.5
2025,J_MUR_057,Murki Nala & Old City Zone,89.77,10.23,0.823,17.67,3.02,3.5
2010,J_MUR_058,Murki Nala & Old City Zone,79.35,20.65,0.745,25.48,4.06,3.5
2011,J_MUR_058,Murki Nala & Old City Zone,79.61,20.39,0.747,25.29,4.04,3.5
2012,J_MUR_058,Murki Nala & Old City Zone,79.97,20.03,0.75,25.03,4.0,3.5
2013,J_MUR_058,Murki Nala & Old City Zone,80.46,19.54,0.753,24.66,3.95,3.5
2014,J_MUR_058,Murki Nala & Old City Zone,81.11,18.89,0.758,24.17,3.89,3.5
2015,J_MUR_058,Murki Nala & Old City Zone,81.94,18.06,0.765,23.54,3.81,3.5
2016,J_MUR_058,Murki Nala & Old City Zone,82.94,17.06,0.772,22.79,3.71,3.5
2017,J_MUR_058,Murki Nala & Old City Zone,84.06,15.94,0.78,21.95,3.59,3.5
2018,J_MUR_058,Murki Nala & Old City Zone,85.23,14.77,0.789,21.08,3.48,3.5
2019,J_MUR_058,Murki Nala & Old City Zone,86.35,13.65,0.798,20.24,3.37,3.5
2020,J_MUR_058,Murki Nala & Old City Zone,87.34,12.66,0.805,19.49,3.27,3.5
2021,J_MUR_058,Murki Nala & Old City Zone,88.17,11.83,0.811,18.87,3.18,3.5
2022,J_MUR_058,Murki Nala & Old City Zone,88.83,11.17,0.816,18.38,3.12,3.5
2023,J_MUR_058,Murki Nala & Old City Zone,89.32,10.68,0.82,18.01,3.07,3.5
2024,J_MUR_058,Murki Nala & Old City Zone,89.68,10.32,0.823,17.74,3.03,3.5
2025,J_MUR_058,Murki Nala & Old City Zone,89.93,10.07,0.824,17.55,3.01,3.5
2010,J_MUR_059,Murki Nala & Old City Zone,80.2,19.8,0.751,24.85,3.98,3.5
2011,J_MUR_059,Murki Nala & Old City Zone,80.37,19.63,0.753,24.72,3.96,3.5
2012,J_MUR_059,Murki Nala & Old City Zone,80.61,19.39,0.755,24.54,3.94,3.5
2013,J_MUR_059,Murki Nala & Old City Zone,80.95,19.05,0.757,24.29,3.91,3.5
2014,J_MUR_059,Murki Nala & Old City Zone,81.39,18.61,0.76,23.96,3.86,3.5
2015,J_MUR_059,Murki Nala & Old City Zone,81.95,18.05,0.765,23.54,3.8,3.5
2016,J_MUR_059,Murki Nala & Old City Zone,82.63,17.37,0.77,23.03,3.74,3.5
2017,J_MUR_059,Murki Nala & Old City Zone,83.39,16.61,0.775,22.46,3.66,3.5
2018,J_MUR_059,Murki Nala & Old City Zone,84.18,15.82,0.781,21.87,3.58,3.5
2019,J_MUR_059,Murki Nala & Old City Zone,84.94,15.06,0.787,21.3,3.51,3.5
2020,J_MUR_059,Murki Nala & Old City Zone,85.62,14.38,0.792,20.79,3.44,3.5
2021,J_MUR_059,Murki Nala & Old City Zone,86.18,13.82,0.796,20.37,3.38,3.5
2022,J_MUR_059,Murki Nala & Old City Zone,86.62,13.38,0.8,20.03,3.34,3.5
2023,J_MUR_059,Murki Nala & Old City Zone,86.96,13.04,0.802,19.78,3.3,3.5
2024,J_MUR_059,Murki Nala & Old City Zone,87.2,12.8,0.804,19.6,3.28,3.5
2025,J_MUR_059,Murki Nala & Old City Zone,87.37,12.63,0.805,19.47,3.26,3.5
2010,J_MUR_060,Murki Nala & Old City Zone,80.77,19.23,0.756,24.42,3.92,3.5
2011,J_MUR_060,Murki Nala & Old City Zone,80.96,19.04,0.757,24.28,3.9,3.5
2012,J_MUR_060,Murki Nala & Old City Zone,81.23,18.77,0.759,24.07,3.88,3.5
2013,J_MUR_060,Murki Nala & Old City Zone,81.6,18.4,0.762,23.8,3.84,3.5
2014,J_MUR_060,Murki Nala & Old City Zone,82.1,17.9,0.766,23.43,3.79,3.5
2015,J_MUR_060,Murki Nala & Old City Zone,82.72,17.28,0.77,22.96,3.73,3.5
2016,J_MUR_060,Murki Nala & Old City Zone,83.47,16.53,0.776,22.39,3.65,3.5
2017,J_MUR_060,Murki Nala & Old City Zone,84.32,15.68,0.782,21.76,3.57,3.5
2018,J_MUR_060,Murki Nala & Old City Zone,85.2,14.8,0.789,21.1,3.48,3.5
2019,J_MUR_060,Murki Nala & Old City Zone,86.04,13.96,0.795,20.47,3.4,3.5
2020,J_MUR_060,Murki Nala & Old City Zone,86.79,13.21,0.801,19.91,3.32,3.5
2021,J_MUR_060,Murki Nala & Old City Zone,87.42,12.58,0.806,19.44,3.26,3.5
2022,J_MUR_060,Murki Nala & Old City Zone,87.91,12.09,0.809,19.07,3.21,3.5
2023,J_MUR_060,Murki Nala & Old City Zone,88.28,11.72,0.812,18.79,3.17,3.5
2024,J_MUR_060,Murki Nala & Old City Zone,88.55,11.45,0.814,18.59,3.15,3.5
2025,J_MUR_060,Murki Nala & Old City Zone,88.74,11.26,0.816,18.45,3.13,3.5
2010,J_CYB_061,Cyberabad - Hitec City Zone,45.92,54.08,0.494,50.56,7.41,3.5
2011,J_CYB_061,Cyberabad - Hitec City Zone,46.87,53.13,0.502,49.85,7.31,3.5
2012,J_CYB_061,Cyberabad - Hitec City Zone,48.21,51.79,0.512,48.84,7.18,3.5
2013,J_CYB_061,Cyberabad - Hitec City Zone,50.05,49.95,0.525,47.46,7.0,3.5
2014,J_CYB_061,Cyberabad - Hitec City Zone,52.5,47.5,0.544,45.63,6.75,3.5
2015,J_CYB_061,Cyberabad - Hitec City Zone,55.61,44.39,0.567,43.29,6.44,3.5
2016,J_CYB_061,Cyberabad - Hitec City Zone,59.34,40.66,0.595,40.49,6.07,3.5
2017,J_CYB_061,Cyberabad - Hitec City Zone,63.53,36.47,0.627,37.35,5.65,3.5
2018,J_CYB_061,Cyberabad - Hitec City Zone,67.89,32.11,0.659,34.08,5.21,3.5
2019,J_CYB_061,Cyberabad - Hitec City Zone,72.09,27.91,0.691,30.94,4.79,3.5
2020,J_CYB_061,Cyberabad - Hitec City Zone,75.82,24.18,0.719,28.13,4.42,3.5
2021,J_CYB_061,Cyberabad - Hitec City Zone,78.93,21.07,0.742,25.8,4.11,3.5
2022,J_CYB_061,Cyberabad - Hitec City Zone,81.38,18.62,0.76,23.97,3.86,3.5
2023,J_CYB_061,Cyberabad - Hitec City Zone,83.22,16.78,0.774,22.58,3.68,3.5
2024,J_CYB_061,Cyberabad - Hitec City Zone,84.56,15.44,0.784,21.58,3.54,3.5
2025,J_CYB_061,Cyberabad - Hitec City Zone,85.51,14.49,0.791,20.87,3.45,3.5
2010,J_CYB_062,Cyberabad - Hitec City Zone,42.97,57.03,0.472,52.77,7.7,3.5
2011,J_CYB_062,Cyberabad - Hitec City Zone,43.92,56.08,0.479,52.06,7.61,3.5
2012,J_CYB_062,Cyberabad - Hitec City Zone,45.25,54.75,0.489,51.06,7.47,3.5
2013,J_CYB_062,Cyberabad - Hitec City Zone,47.08,52.92,0.503,49.69,7.29,3.5
2014,J_CYB_062,Cyberabad - Hitec City Zone,49.52,50.48,0.521,47.86,7.05,3.5
2015,J_CYB_062,Cyberabad - Hitec City Zone,52.62,47.38,0.545,45.54,6.74,3.5
2016,J_CYB_062,Cyberabad - Hitec City Zone,56.33,43.67,0.573,42.75,6.37,3.5
2017,J_CYB_062,Cyberabad - Hitec City Zone,60.5,39.5,0.604,39.62,5.95,3.5
2018,J_CYB_062,Cyberabad - Hitec City Zone,64.84,35.16,0.636,36.37,5.52,3.5
2019,J_CYB_062,Cyberabad - Hitec City Zone,69.01,30.99,0.668,33.24,5.1,3.5
2020,J_CYB_062,Cyberabad - Hitec City Zone,72.73,27.27,0.695,30.45,4.73,3.5
2021,J_CYB_062,Cyberabad - Hitec City Zone,75.83,24.17,0.719,28.13,4.42,3.5
2022,J_CYB_062,Cyberabad - Hitec City Zone,78.27,21.73,0.737,26.3,4.17,3.5
2023,J_CYB_062,Cyberabad - Hitec City Zone,80.1,19.9,0.751,24.93,3.99,3.5
2024,J_CYB_062,Cyberabad - Hitec City Zone,81.43,18.57,0.761,23.93,3.86,3.5
2025,J_CYB_062,Cyberabad - Hitec City Zone,82.38,17.62,0.768,23.22,3.76,3.5
2010,J_CYB_063,Cyberabad - Hitec City Zone,42.52,57.48,0.469,53.11,7.75,3.5
2011,J_CYB_063,Cyberabad - Hitec City Zone,43.5,56.5,0.476,52.37,7.65,3.5
2012,J_CYB_063,Cyberabad - Hitec City Zone,44.89,55.11,0.487,51.33,7.51,3.5
2013,J_CYB_063,Cyberabad - Hitec City Zone,46.8,53.2,0.501,49.9,7.32,3.5
2014,J_CYB_063,Cyberabad - Hitec City Zone,49.34,50.66,0.52,48.0,7.07,3.5
2015,J_CYB_063,Cyberabad - Hitec City Zone,52.56,47.44,0.544,45.58,6.74,3.5
2016,J_CYB_063,Cyberabad - Hitec City Zone,56.43,43.57,0.573,42.67,6.36,3.5
2017,J_CYB_063,Cyberabad - Hitec City Zone,60.78,39.22,0.606,39.42,5.92,3.5
2018,J_CYB_063,Cyberabad - Hitec City Zone,65.3,34.7,0.64,36.03,5.47,3.5
2019,J_CYB_063,Cyberabad - Hitec City Zone,69.64,30.36,0.672,32.77,5.04,3.5
2020,J_CYB_063,Cyberabad - Hitec City Zone,73.51,26.49,0.701,29.86,4.65,3.5
2021,J_CYB_063,Cyberabad - Hitec City Zone,76.74,23.26,0.726,27.45,4.33,3.5
2022,J_CYB_063,Cyberabad - Hitec City Zone,79.28,20.72,0.745,25.54,4.07,3.5
2023,J_CYB_063,Cyberabad - Hitec City Zone,81.19,18.81,0.759,24.11,3.88,3.5
2024,J_CYB_063,Cyberabad - Hitec City Zone,82.57,17.43,0.769,23.07,3.74,3.5
2025,J_CYB_063,Cyberabad - Hitec City Zone,83.56,16.44,0.777,22.33,3.64,3.5
2010,J_CYB_064,Cyberabad - Hitec City Zone,45.97,54.03,0.495,50.52,7.4,3.5
2011,J_CYB_064,Cyberabad - Hitec City Zone,46.92,53.08,0.502,49.81,7.31,3.5
2012,J_CYB_064,Cyberabad - Hitec City Zone,48.25,51.75,0.512,48.81,7.17,3.5
2013,J_CYB_064,Cyberabad - Hitec City Zone,50.08,49.92,0.526,47.44,6.99,3.5
2014,J_CYB_064,Cyberabad - Hitec City Zone,52.52,47.48,0.544,45.61,6.75,3.5
2015,J_CYB_064,Cyberabad - Hitec City Zone,55.62,44.38,0.567,43.29,6.44,3.5
2016,J_CYB_064,Cyberabad - Hitec City Zone,59.33,40.67,0.595,40.5,6.07,3.5
2017,J_CYB_064,Cyberabad - Hitec City Zone,63.51,36.49,0.626,37.37,5.65,3.5
2018,J_CYB_064,Cyberabad - Hitec City Zone,67.85,32.15,0.659,34.12,5.22,3.5
2019,J_CYB_064,Cyberabad - Hitec City Zone,72.02,27.98,0.69,30.99,4.8,3.5
2020,J_CYB_064,Cyberabad - Hitec City Zone,75.73,24.27,0.718,28.2,4.43,3.5
2021,J_CYB_064,Cyberabad - Hitec City Zone,78.83,21.17,0.741,25.88,4.12,3.5
2022,J_CYB_064,Cyberabad - Hitec City Zone,81.27,18.73,0.76,24.05,3.87,3.5
2023,J_CYB_064,Cyberabad - Hitec City Zone,83.1,16.9,0.773,22.67,3.69,3.5
2024,J_CYB_064,Cyberabad - Hitec City Zone,84.43,15.57,0.783,21.68,3.56,3.5
2025,J_CYB_064,Cyberabad - Hitec City Zone,85.38,14.62,0.79,20.97,3.46,3.5
2010,J_CYB_065,Cyberabad - Hitec City Zone,41.27,58.73,0.46,54.05,7.87,3.5
2011,J_CYB_065,Cyberabad - Hitec City Zone,42.29,57.71,0.467,53.28,7.77,3.5
2012,J_CYB_065,Cyberabad - Hitec City Zone,43.73,56.27,0.478,52.2,7.63,3.5
2013,J_CYB_065,Cyberabad - Hitec City Zone,45.71,54.29,0.493,50.72,7.43,3.5
2014,J_CYB_065,Cyberabad - Hitec City Zone,48.34,51.66,0.513,48.75,7.17,3.5
2015,J_CYB_065,Cyberabad - Hitec City Zone,51.68,48.32,0.538,46.24,6.83,3.5
2016,J_CYB_065,Cyberabad - Hitec City Zone,55.7,44.3,0.568,43.23,6.43,3.5
2017,J_CYB_065,Cyberabad - Hitec City Zone,60.2,39.8,0.602,39.85,5.98,3.5
2018,J_CYB_065,Cyberabad - Hitec City Zone,64.88,35.12,0.637,36.34,5.51,3.5
2019,J_CYB_065,Cyberabad - Hitec City Zone,69.39,30.61,0.67,32.96,5.06,3.5
2020,J_CYB_065,Cyberabad - Hitec City Zone,73.4,26.6,0.701,29.95,4.66,3.5
2021,J_CYB_065,Cyberabad - Hitec City Zone,76.75,23.25,0.726,27.44,4.33,3.5
2022,J_CYB_065,Cyberabad - Hitec City Zone,79.38,20.62,0.745,25.47,4.06,3.5
2023,J_CYB_065,Cyberabad - Hitec City Zone,81.35,18.65,0.76,23.98,3.86,3.5
2024,J_CYB_065,Cyberabad - Hitec City Zone,82.79,17.21,0.771,22.9,3.72,3.5
2025,J_CYB_065,Cyberabad - Hitec City Zone,83.81,16.19,0.779,22.14,3.62,3.5
2010,J_CYB_066,Cyberabad - Hitec City Zone,43.56,56.44,0.477,52.33,7.64,3.5
2011,J_CYB_066,Cyberabad - Hitec City Zone,44.5,55.5,0.484,51.62,7.55,3.5
2012,J_CYB_066,Cyberabad - Hitec City Zone,45.83,54.17,0.494,50.63,7.42,3.5
2013,J_CYB_066,Cyberabad - Hitec City Zone,47.66,52.34,0.507,49.26,7.23,3.5
2014,J_CYB_066,Cyberabad - Hitec City Zone,50.09,49.91,0.526,47.44,6.99,3.5
2015,J_CYB_066,Cyberabad - Hitec City Zone,53.17,46.83,0.549,45.12,6.68,3.5
2016,J_CYB_066,Cyberabad - Hitec City Zone,56.88,43.12,0.577,42.34,6.31,3.5
2017,J_CYB_066,Cyberabad - Hitec City Zone,61.03,38.97,0.608,39.22,5.9,3.5
2018,J_CYB_066,Cyberabad - Hitec City Zone,65.36,34.64,0.64,35.98,5.46,3.5
2019,J_CYB_066,Cyberabad - Hitec City Zone,69.52,30.48,0.671,32.86,5.05,3.5
2020,J_CYB_066,Cyberabad - Hitec City Zone,73.22,26.78,0.699,30.08,4.68,3.5
2021,J_CYB_066,Cyberabad - Hitec City Zone,76.31,23.69,0.722,27.77,4.37,3.5
2022,J_CYB_066,Cyberabad - Hitec City Zone,78.73,21.27,0.741,25.95,4.13,3.5
2023,J_CYB_066,Cyberabad - Hitec City Zone,80.56,19.44,0.754,24.58,3.94,3.5
2024,J_CYB_066,Cyberabad - Hitec City Zone,81.89,18.11,0.764,23.58,3.81,3.5
2025,J_CYB_066,Cyberabad - Hitec City Zone,82.83,17.17,0.771,22.88,3.72,3.5
2010,J_CYB_067,Cyberabad - Hitec City Zone,41.88,58.12,0.464,53.59,7.81,3.5
2011,J_CYB_067,Cyberabad - Hitec City Zone,42.87,57.13,0.472,52.84,7.71,3.5
2012,J_CYB_067,Cyberabad - Hitec City Zone,44.27,55.73,0.482,51.8,7.57,3.5
2013,J_CYB_067,Cyberabad - Hitec City Zone,46.19,53.81,0.496,50.36,7.38,3.5
2014,J_CYB_067,Cyberabad - Hitec City Zone,48.75,51.25,0.516,48.44,7.13,3.5
2015,J_CYB_067,Cyberabad - Hitec City Zone,51.99,48.01,0.54,46.01,6.8,3.5
2016,J_CYB_067,Cyberabad - Hitec City Zone,55.89,44.11,0.569,43.08,6.41,3.5
2017,J_CYB_067,Cyberabad - Hitec City Zone,60.26,39.74,0.602,39.8,5.97,3.5
2018,J_CYB_067,Cyberabad - Hitec City Zone,64.81,35.19,0.636,36.39,5.52,3.5
2019,J_CYB_067,Cyberabad - Hitec City Zone,69.18,30.82,0.669,33.11,5.08,3.5
2020,J_CYB_067,Cyberabad - Hitec City Zone,73.08,26.92,0.698,30.19,4.69,3.5
2021,J_CYB_067,Cyberabad - Hitec City Zone,76.32,23.68,0.722,27.76,4.37,3.5
2022,J_CYB_067,Cyberabad - Hitec City Zone,78.88,21.12,0.742,25.84,4.11,3.5
2023,J_CYB_067,Cyberabad - Hitec City Zone,80.8,19.2,0.756,24.4,3.92,3.5
2024,J_CYB_067,Cyberabad - Hitec City Zone,82.2,17.8,0.766,23.35,3.78,3.5
2025,J_CYB_067,Cyberabad - Hitec City Zone,83.19,16.81,0.774,22.61,3.68,3.5
2010,J_CYB_068,Cyberabad - Hitec City Zone,46.58,53.42,0.499,50.06,7.34,3.5
2011,J_CYB_068,Cyberabad - Hitec City Zone,47.47,52.53,0.506,49.4,7.25,3.5
2012,J_CYB_068,Cyberabad - Hitec City Zone,48.71,51.29,0.515,48.47,7.13,3.5
2013,J_CYB_068,Cyberabad - Hitec City Zone,50.42,49.58,0.528,47.18,6.96,3.5
2014,J_CYB_068,Cyberabad - Hitec City Zone,52.7,47.3,0.545,45.48,6.73,3.5
2015,J_CYB_068,Cyberabad - Hitec City Zone,55.59,44.41,0.567,43.31,6.44,3.5
2016,J_CYB_068,Cyberabad - Hitec City Zone,59.06,40.94,0.593,40.71,6.09,3.5
2017,J_CYB_068,Cyberabad - Hitec City Zone,62.95,37.05,0.622,37.79,5.7,3.5
2018,J_CYB_068,Cyberabad - Hitec City Zone,67.0,33.0,0.653,34.75,5.3,3.5
2019,J_CYB_068,Cyberabad - Hitec City Zone,70.89,29.11,0.682,31.83,4.91,3.5
2020,J_CYB_068,Cyberabad - Hitec City Zone,74.36,25.64,0.708,29.23,4.56,3.5
2021,J_CYB_068,Cyberabad - Hitec City Zone,77.25,22.75,0.729,27.06,4.27,3.5
2022,J_CYB_068,Cyberabad - Hitec City Zone,79.53,20.47,0.746,25.35,4.05,3.5
2023,J_CYB_068,Cyberabad - Hitec City Zone,81.24,18.76,0.759,24.07,3.88,3.5
2024,J_CYB_068,Cyberabad - Hitec City Zone,82.48,17.52,0.769,23.14,3.75,3.5
2025,J_CYB_068,Cyberabad - Hitec City Zone,83.37,16.63,0.775,22.48,3.66,3.5
2010,J_CYB_069,Cyberabad - Hitec City Zone,44.23,55.77,0.482,51.83,7.58,3.5
2011,J_CYB_069,Cyberabad - Hitec City Zone,45.2,54.8,0.489,51.1,7.48,3.5
2012,J_CYB_069,Cyberabad - Hitec City Zone,46.57,53.43,0.499,50.07,7.34,3.5
